Name;Type;RA;Dec;Const;MajAx;MinAx;PosAng;B-Mag;V-Mag;J-Mag;H-Mag;K-Mag;SurfBr;Hubble;Pax;Pm-RA;Pm-Dec;RadVel;Redshift;Cstar U-Mag;Cstar B-Mag;Cstar V-Mag;M;NGC;IC;Cstar Names;Identifiers;Common names;NED notes;OpenNGC notes;Sources
Sh2-1;HII;16:52:24.00;-35:03:00.0;Sco;25;;;;;;;;;;;;;;;;;;;;;;;
Sh2-2;HII;17:02:00.00;-27:25:00.0;Sgr;16;;;;;;;;;;;;;;;;;;;;;;;
Sh2-3;HII;17:15:30.00;-22:05:00.0;Sgr;15;;;;;;;;;;;;;;;;;;;;;;;
Sh2-4;HII;17:24:12.00;-19:57:00.0;Oph;18;;;;;;;;;;;;;;;;;;;;;;;
Sh2-5;HII;17:35:42.00;-13:25:00.0;Oph;35;;;;;;;;;;;;;;;;;;;;;;;
Sh2-6;HII;18:02:48.00;-24:24:00.0;Sgr;10;;;;;;;;;;;;;;;;;;;;;;;
Sh2-7;HII;18:04:18.00;-22:11:00.0;Sgr;22;;;;;;;;;;;;;;;;;;;;;;;
Sh2-8;HII;18:03:42.00;-24:06:00.0;Sgr;80;;;;;;;;;;;;;;;;;;;;;;;
Sh2-9;HII;18:04:54.00;-20:44:00.0;Sgr;35;;;;;;;;;;;;;;;;;;;;;;;
Sh2-10;HII;18:05:36.00;-19:04:00.0;Sgr;30;;;;;;;;;;;;;;;;;;;;;;;
Sh2-11;HII;18:07:30.00;-22:31:00.0;Sgr;15;;;;;;;;;;;;;;;;;;;;;;;
Sh2-12;HII;18:13:12.00;-17:54:00.0;Sgr;45;;;;;;;;;;;;;;;;;;;;;;;
Sh2-13;HII;18:13:48.00;-17:34:00.0;Sgr;10;;;;;;;;;;;;;;;;;;;;;;;
Sh2-14;HII;18:17:42.00;-12:26:00.0;Sct;12;;;;;;;;;;;;;;;;;;;;;;;
Sh2-15;HII;18:19:48.00;-11:42:00.0;Sct;14;;;;;;;;;;;;;;;;;;;;;;;
Sh2-16;HII;18:18:36.00;-13:00:00.0;Sct;30;;;;;;;;;;;;;;;;;;;;;;;
Sh2-17;HII;18:19:12.00;-12:14:00.0;Sct;25;;;;;;;;;;;;;;;;;;;;;;;
