# XISF Shell Extension – IAU constellation data
# Boundaries: Roman (1987) / Delporte (1930), J2000.0 epoch
# B record: raLow_hrs,raHigh_hrs,decLow_deg,abbrev
# N record: abbrev,fullname

B,0.0000,24.0000,88.0000,UMi
B,8.0000,14.5000,86.5000,UMi
B,21.0000,23.0000,86.1667,UMi
B,18.0000,21.0000,86.0000,UMi
B,0.0000,8.0000,85.0000,Cep
B,9.1667,10.6667,82.0000,Cam
B,12.5000,14.5000,82.0000,Cam
B,14.5000,18.0000,82.0000,UMi
B,0.0000,5.0000,80.0000,Cep
B,10.6667,12.5000,80.0000,Cam
B,17.5000,18.0000,80.0000,UMi
B,20.1667,21.0000,80.0000,Dra
B,0.0000,3.5000,77.0000,Cep
B,11.5000,13.5833,77.0000,Cam
B,16.5333,17.5000,75.0000,UMi
B,20.1667,20.6667,75.0000,Cep
B,7.0000,9.1667,73.5000,Cam
B,11.5000,12.0000,73.5000,Cam
B,13.5833,16.5333,70.0000,UMi
B,3.5000,5.0667,70.0000,Cep
B,20.5333,21.0000,70.0000,Cep
B,5.0667,7.0000,70.0000,Cam
B,9.1667,11.3333,70.0000,Dra
B,11.3333,12.0000,70.0000,Dra
B,0.0000,3.5000,66.5000,Cep
B,12.0000,13.5000,66.0000,UMa
B,14.0000,15.6667,66.0000,UMi
B,15.6667,16.5333,66.0000,Dra
B,20.5333,20.6000,66.0000,Cep
B,7.0000,9.1667,64.0000,Cam
B,9.1667,10.1667,64.0000,UMa
B,21.0000,23.5833,63.0000,Cep
B,23.5833,24.0000,63.0000,Cep
B,0.0000,2.3167,61.5000,Cas
B,20.6000,21.0000,61.5000,Cep
B,10.1667,10.7833,61.5000,UMa
B,13.0000,13.5000,61.5000,UMa
B,6.1000,7.0000,60.0000,Lyn
B,13.5000,14.0000,60.0000,UMa
B,17.5000,18.0000,60.0000,Dra
B,2.3167,3.4167,58.5000,Cas
B,10.7833,11.1000,58.5000,UMa
B,20.0000,20.5333,58.5000,Dra
B,15.6667,17.5000,55.5000,Dra
B,11.1000,11.9500,56.0000,UMa
B,18.0000,18.5000,56.0000,Dra
B,0.0000,2.3167,55.0000,Cas
B,4.5000,6.1000,55.0000,Cam
B,11.9500,12.0000,55.0000,UMa
B,14.0000,15.6667,55.5000,Dra
B,3.4167,4.5000,52.5000,Per
B,12.0000,12.3333,53.0000,CVn
B,7.0000,7.6833,53.0000,Lyn
B,20.0000,20.5333,53.0000,Cep
B,6.1000,7.0000,50.0000,Lyn
B,12.3333,13.0000,50.0000,CVn
B,18.5000,19.1667,50.0000,Dra
B,0.0000,1.6667,50.0000,Cas
B,23.5833,24.0000,50.0000,Cas
B,19.1667,19.4000,47.5000,Cyg
B,1.6667,1.9000,48.0000,Cas
B,7.6833,9.1833,48.0000,Lyn
B,4.5000,5.0667,46.0000,Per
B,15.6667,17.5000,45.5000,Her
B,19.4000,19.6833,47.0000,Cyg
